id,date,borough,latitude,longitude,injured,killed,valid_coordinates
4691918,2024-01-02,QUEENS,40.732582,-73.86806,1,0,True
4691919,2024-01-01,QUEENS,40.72218,-73.84406,0,0,True
4691922,2024-01-01,BROOKLYN,40.637897,-73.90085,1,0,True
4691924,2024-01-01,BROOKLYN,40.61368,-74.00715,0,0,True
4691925,2024-01-01,UNKNOWN,,,0,0,False
4691927,2024-01-01,BROOKLYN,40.69383,-73.937225,0,0,True
4691929,2024-01-01,UNKNOWN,40.788555,-73.78234,0,0,True
4691930,2024-01-01,UNKNOWN,40.787197,-73.78,0,0,True
4691933,2024-01-02,UNKNOWN,40.72621,-73.920525,0,0,True
4691934,2024-01-01,QUEENS,40.757523,-73.82914,1,0,True
4691936,2024-01-01,UNKNOWN,40.7879,-73.77701,5,0,True
4691937,2024-01-02,UNKNOWN,40.68708,-73.913895,1,0,True
4691938,2024-01-01,QUEENS,40.75406,-73.808624,1,0,True
4691939,2024-01-01,BROOKLYN,40.69216,-73.914764,0,0,True
4691941,2024-01-01,QUEENS,40.7925,-73.84077,0,0,True
4691945,2024-01-02,QUEENS,,,0,0,False
4691947,2024-01-01,UNKNOWN,40.69078,-73.72728,2,0,True
4691950,2024-01-01,BROOKLYN,40.638103,-73.90108,0,0,True
4691951,2024-01-01,UNKNOWN,40.68535,-73.8587,1,0,True
4691952,2024-01-01,QUEENS,40.68592,-73.846924,0,0,True
4691954,2024-01-01,QUEENS,40.72784,-73.83284,1,0,True
4691955,2024-01-02,BROOKLYN,40.63747,-73.91918,0,0,True
4691959,2024-01-01,QUEENS,40.741104,-73.85382,1,0,True
4691962,2024-01-01,MANHATTAN,40.753555,-73.996735,1,0,True
4691963,2024-01-01,MANHATTAN,40.73975,-74.00253,1,0,True
4691964,2024-01-02,UNKNOWN,,,2,0,False
4691967,2024-01-02,BROOKLYN,40.652794,-73.946884,0,0,True
4691968,2024-01-01,UNKNOWN,40.69832,-73.962265,1,0,True
4691975,2024-01-01,BROOKLYN,40.706707,-73.942024,0,0,True
4691977,2024-01-01,BROOKLYN,40.62774,-73.981575,3,0,True
4691978,2024-01-01,UNKNOWN,40.732384,-74.01036,1,0,True
4691979,2024-01-01,UNKNOWN,,,0,0,False
4691982,2024-01-02,UNKNOWN,40.70504,-73.959045,1,0,True
4691986,2024-01-02,BROOKLYN,40.637768,-73.95868,1,0,True
4691988,2024-01-01,UNKNOWN,40.66684,-73.78941,5,0,True
4691993,2024-01-02,BROOKLYN,40.61269,-73.982666,1,0,True
4691997,2024-01-02,QUEENS,40.736885,-73.87506,0,0,True
4691998,2024-01-02,UNKNOWN,40.602947,-73.89932,0,0,True
4691999,2024-01-01,QUEENS,40.746,-73.869354,0,0,True
4692000,2024-01-01,BRONX,40.82962,-73.87943,0,0,True
4692002,2024-01-01,BRONX,,,1,0,False
4692003,2024-01-01,UNKNOWN,40.61135,-74.09847,0,0,True
4692004,2024-01-01,BRONX,40.81846,-73.866135,0,0,True
4692005,2024-01-01,BRONX,40.827354,-73.84645,0,0,True
4692006,2024-01-01,UNKNOWN,,,0,0,False
4692007,2024-01-01,STATEN ISLAND,40.64479,-74.08029,0,0,True
4692009,2024-01-02,BRONX,40.824654,-73.89194,0,0,True
4692010,2024-01-02,QUEENS,40.756287,-73.860725,1,0,True
4692012,2024-01-01,BROOKLYN,40.69862,-73.920135,0,0,True
4692013,2024-01-01,UNKNOWN,40.702255,-73.92008,0,0,True
4692014,2024-01-01,UNKNOWN,40.698452,-73.92176,0,0,True
4692015,2024-01-02,UNKNOWN,40.643917,-74.0008,0,0,True
4692021,2024-01-01,UNKNOWN,,,0,0,False
4692023,2024-01-01,MANHATTAN,40.796005,-73.93542,0,0,True
4692027,2024-01-02,MANHATTAN,40.777996,-73.95614,0,0,True
4692028,2024-01-02,MANHATTAN,40.756123,-73.991165,0,0,True
4692029,2024-01-01,MANHATTAN,40.70638,-74.009514,0,0,True
4692031,2024-01-02,MANHATTAN,40.718266,-74.00706,0,0,True
4692032,2024-01-01,UNKNOWN,40.774155,-73.984886,1,0,True
4692033,2024-01-02,UNKNOWN,40.731983,-73.91912,0,0,True
4692034,2024-01-02,QUEENS,,,1,0,False
4692041,2024-01-01,UNKNOWN,40.58396,-73.9253,0,1,True
4692042,2024-01-01,QUEENS,40.581184,-73.825096,0,0,True
4692043,2024-01-01,UNKNOWN,,,1,5,False
4692049,2024-01-01,STATEN ISLAND,40.578377,-74.09404,0,0,True
4692050,2024-01-01,STATEN ISLAND,40.564972,-74.13331,1,0,True
4692051,2024-01-02,STATEN ISLAND,,,0,0,False
4692052,2024-01-02,STATEN ISLAND,40.54534,-74.160576,0,0,True
4692055,2024-01-01,BRONX,40.89204,-73.85814,3,0,True
4692056,2024-01-02,BROOKLYN,40.619164,-73.93419,0,0,True
4692058,2024-01-01,STATEN ISLAND,40.564323,-74.098434,1,0,True
4692059,2024-01-01,BROOKLYN,40.621056,-73.92611,0,0,True
4692060,2024-01-02,BROOKLYN,40.616436,-73.92953,0,0,True
4692061,2024-01-02,BROOKLYN,40.62192,-73.936134,0,0,True
4692062,2024-01-01,BROOKLYN,40.618137,-73.935745,0,0,True
4692064,2024-01-01,BROOKLYN,40.63376,-73.947754,0,0,True
4692065,2024-01-02,BROOKLYN,40.692307,-73.99551,0,0,True
4692066,2024-01-02,BRONX,40.897625,-73.85625,0,0,True
4692073,2024-01-01,UNKNOWN,40.646927,-73.88074,0,0,True
4692075,2024-01-02,BROOKLYN,40.663456,-73.89757,0,0,True
4692076,2024-01-02,BROOKLYN,40.668785,-73.87758,0,0,True
4692077,2024-01-02,BROOKLYN,40.671738,-73.86815,1,0,True
4692079,2024-01-01,BROOKLYN,40.66643,-73.882835,2,0,True
4692080,2024-01-01,BROOKLYN,40.65945,-73.89847,0,0,True
4692082,2024-01-02,BROOKLYN,40.63776,-73.99516,1,0,True
4692083,2024-01-02,BROOKLYN,40.6266,-73.98271,1,0,True
4692085,2024-01-02,BRONX,40.83455,-73.829414,0,0,True
4692086,2024-01-02,UNKNOWN,40.856625,-73.8319,2,0,True
4692099,2024-01-01,QUEENS,40.59512,-73.751595,0,0,True
4692101,2024-01-01,UNKNOWN,,,0,0,False
4692104,2024-01-02,BROOKLYN,40.678978,-73.98501,0,0,True
4692105,2024-01-02,BRONX,40.89341,-73.85737,1,0,True
4692106,2024-01-02,UNKNOWN,40.70806,-73.8073,1,0,True
4692107,2024-01-01,UNKNOWN,40.814144,-73.95571,0,0,True
4692109,2024-01-02,UNKNOWN,40.609886,-73.98556,1,0,True
4692110,2024-01-01,UNKNOWN,,,0,0,False
4692111,2024-01-02,BROOKLYN,40.62806,-74.02029,1,0,True
4692112,2024-01-02,BRONX,40.890156,-73.85746,0,0,True
4692113,2024-01-02,MANHATTAN,40.813553,-73.95639,0,0,True
4692114,2024-01-02,QUEENS,40.74623,-73.89037,0,0,True
4692115,2024-01-02,BROOKLYN,40.69613,-73.987114,0,0,True
4692116,2024-01-02,BROOKLYN,40.690346,-73.99206,1,0,True
4692117,2024-01-01,BRONX,40.887127,-73.83333,0,0,True
4692119,2024-01-02,QUEENS,40.733074,-73.80467,0,0,True
4692120,2024-01-01,MANHATTAN,40.714054,-73.9902,1,0,True
4692121,2024-01-02,QUEENS,40.714035,-73.78281,1,0,True
4692122,2024-01-02,UNKNOWN,40.66895,-73.9339,1,0,True
4692123,2024-01-02,BROOKLYN,,,0,0,False
4692124,2024-01-01,UNKNOWN,40.63082,-73.88636,0,0,True
4692125,2024-01-02,QUEENS,40.73508,-73.7769,0,0,True
4692127,2024-01-03,BROOKLYN,40.67337,-73.96188,0,0,True
4692128,2024-01-01,BROOKLYN,40.64036,-74.00396,0,0,True
4692129,2024-01-02,BROOKLYN,40.643517,-73.99865,0,0,True
4692132,2024-01-01,QUEENS,40.679108,-73.81057,1,0,True
4692134,2024-01-02,QUEENS,40.681522,-73.82473,1,0,True
4692135,2024-01-02,BROOKLYN,40.6406,-73.99434,1,0,True
4692136,2024-01-01,UNKNOWN,,,0,0,False
4692137,2024-01-02,QUEENS,40.674557,-73.859604,1,0,True
4692138,2024-01-02,UNKNOWN,40.849403,-73.871445,0,0,True
4692139,2024-01-02,QUEENS,40.6759,-73.81205,0,0,True
4692140,2024-01-02,QUEENS,,,0,0,False
4692145,2024-01-02,UNKNOWN,40.826553,-73.93466,0,0,True
4692149,2024-01-01,UNKNOWN,,,2,0,False
4692150,2024-01-02,QUEENS,40.764267,-73.9158,0,0,True
4692151,2024-01-02,UNKNOWN,40.76197,-73.92539,0,0,True
4692152,2024-01-02,QUEENS,40.75201,-73.93016,0,0,True
4692153,2024-01-01,QUEENS,40.749924,-73.935905,0,0,True
4692154,2024-01-02,BROOKLYN,40.597683,-73.96686,1,0,True
4692155,2024-01-02,BROOKLYN,40.599957,-73.961334,1,0,True
4692156,2024-01-02,BROOKLYN,40.598923,-73.94546,1,0,True
4692159,2024-01-02,QUEENS,40.712757,-73.90225,1,0,True
4692160,2024-01-02,UNKNOWN,40.861862,-73.91275,0,0,True
4692161,2024-01-03,QUEENS,40.749733,-73.936104,0,0,True
4692163,2024-01-02,UNKNOWN,40.861862,-73.91275,0,0,True
4692165,2024-01-01,QUEENS,40.690342,-73.78243,1,0,True
4692166,2024-01-02,QUEENS,40.743507,-73.92628,0,0,True
4692167,2024-01-02,QUEENS,40.743454,-73.91484,0,0,True
4692168,2024-01-03,UNKNOWN,40.73736,-73.934074,0,0,True
4692169,2024-01-02,UNKNOWN,40.730366,-73.91388,0,0,True
4692171,2024-01-03,UNKNOWN,40.602734,-74.16307,2,0,True
4692172,2024-01-02,QUEENS,40.726696,-73.92293,0,0,True
4692173,2024-01-02,UNKNOWN,40.753986,-73.87215,0,0,True
4692174,2024-01-01,BRONX,40.84478,-73.90095,0,0,True
4692175,2024-01-02,UNKNOWN,40.84441,-73.90117,0,0,True
4692177,2024-01-02,UNKNOWN,40.868282,-73.90108,1,0,True
4692178,2024-01-02,BROOKLYN,40.608562,-73.99414,0,0,True
4692179,2024-01-02,UNKNOWN,40.73594,-73.85887,0,0,True
4692181,2024-01-02,QUEENS,40.741104,-73.85382,1,0,True
4692182,2024-01-02,STATEN ISLAND,40.632526,-74.10854,1,0,True
4692183,2024-01-02,BRONX,40.882217,-73.88046,2,0,True
4692185,2024-01-02,BROOKLYN,40.713036,-73.93616,1,0,True
4692186,2024-01-01,BROOKLYN,40.691353,-73.92142,1,0,True
4692188,2024-01-03,UNKNOWN,40.680035,-73.9055,0,0,True
4692189,2024-01-02,UNKNOWN,40.77277,-73.804184,1,0,True
4692190,2024-01-03,QUEENS,40.76661,-73.88644,0,0,True
4692191,2024-01-02,UNKNOWN,40.628662,-74.13675,1,0,True
4692193,2024-01-02,UNKNOWN,40.777714,-73.82406,1,0,True
4692195,2024-01-02,BRONX,40.83955,-73.91595,1,0,True
4692196,2024-01-03,QUEENS,40.743317,-73.81564,0,0,True
4692198,2024-01-02,UNKNOWN,40.71795,-73.94769,1,0,True
4692199,2024-01-01,UNKNOWN,40.805077,-73.91092,0,0,True
4692201,2024-01-01,QUEENS,40.697052,-73.75734,0,0,True
4692202,2024-01-02,BRONX,40.80671,-73.91728,0,0,True
4692203,2024-01-02,QUEENS,40.750565,-73.95227,0,0,True
4692204,2024-01-01,UNKNOWN,40.638657,-74.1433,0,0,True
4692205,2024-01-02,UNKNOWN,40.598213,-74.180466,1,0,True
4692206,2024-01-02,BRONX,40.838238,-73.876686,0,0,True
4692207,2024-01-01,BROOKLYN,40.701862,-73.94383,1,0,True
4692210,2024-01-02,UNKNOWN,40.685368,-73.9109,1,0,True
4692211,2024-01-02,UNKNOWN,40.697407,-73.93601,1,0,True
4692212,2024-01-02,UNKNOWN,40.60862,-74.14824,0,0,True
4692213,2024-01-02,BROOKLYN,40.69069,-73.91621,0,0,True
4692214,2024-01-02,UNKNOWN,40.616608,-74.14234,0,0,True
4692215,2024-01-02,UNKNOWN,40.60719,-74.16243,2,0,True
4692217,2024-01-02,QUEENS,40.716145,-73.73118,1,0,True
4692218,2024-01-02,UNKNOWN,,,0,0,False
4692222,2024-01-03,MANHATTAN,40.74763,-73.986664,1,0,True
4692223,2024-01-01,QUEENS,40.73225,-73.92452,0,0,True
4692225,2024-01-03,UNKNOWN,,,0,0,False
4692228,2024-01-02,BRONX,40.82998,-73.882385,1,0,True
4692229,2024-01-03,QUEENS,40.704403,-73.89392,0,0,True
4692230,2024-01-03,QUEENS,40.756508,-73.937164,0,0,True
4692233,2024-01-02,BROOKLYN,40.66427,-73.9303,0,0,True
4692234,2024-01-02,BROOKLYN,40.659946,-73.94185,0,0,True
4692236,2024-01-01,BRONX,40.86016,-73.87073,0,0,True
4692237,2024-01-02,QUEENS,40.722622,-73.849144,0,0,True
4692238,2024-01-02,MANHATTAN,40.74109,-73.990555,1,0,True
4692239,2024-01-03,QUEENS,40.769817,-73.87603,1,0,True
4692240,2024-01-02,QUEENS,40.731144,-73.86937,1,0,True
4692243,2024-01-03,UNKNOWN,40.60036,-74.12828,1,0,True
4692244,2024-01-03,MANHATTAN,40.861256,-73.925674,0,0,True
4692246,2024-01-01,UNKNOWN,40.60831,-74.12113,0,0,True
4692247,2024-01-02,UNKNOWN,40.61423,-74.15608,0,0,True
4692249,2024-01-03,QUEENS,40.72936,-73.92856,0,0,True
4692250,2024-01-02,MANHATTAN,40.85618,-73.92872,0,0,True
4692255,2024-01-02,MANHATTAN,40.741646,-74.00487,0,0,True
4692262,2024-01-03,BROOKLYN,40.624596,-73.9445,1,0,True
4692266,2024-01-02,BROOKLYN,40.643776,-73.913765,0,0,True
4692269,2024-01-03,MANHATTAN,40.738304,-73.9856,0,0,True
4692270,2024-01-02,UNKNOWN,40.669044,-73.87578,0,0,True
4692271,2024-01-03,BROOKLYN,40.674404,-73.86976,1,0,True
4692272,2024-01-03,BROOKLYN,40.669456,-73.86284,0,0,True
4692275,2024-01-01,BROOKLYN,40.645992,-73.926834,1,0,True
4692278,2024-01-03,QUEENS,40.749844,-73.883385,1,0,True
4692279,2024-01-02,BROOKLYN,40.660927,-73.892426,0,0,True
4692280,2024-01-03,BROOKLYN,40.66841,-73.90167,0,0,True
4692281,2024-01-02,MANHATTAN,40.760624,-73.99103,1,0,True
4692282,2024-01-01,BROOKLYN,40.640236,-73.90598,0,0,True
4692283,2024-01-01,MANHATTAN,40.85221,-73.933235,0,0,True
4692284,2024-01-01,MANHATTAN,40.799576,-73.935905,3,0,True
4692286,2024-01-01,MANHATTAN,40.852127,-73.93783,0,0,True
4692287,2024-01-02,UNKNOWN,40.862602,-73.92028,0,0,True
4692288,2024-01-02,MANHATTAN,40.803127,-73.93625,0,0,True
4692289,2024-01-02,MANHATTAN,40.80256,-73.943,1,0,True
4692290,2024-01-02,MANHATTAN,40.762394,-73.97861,1,0,True
4692291,2024-01-02,MANHATTAN,40.76177,-73.979065,0,0,True
4692292,2024-01-02,UNKNOWN,,,1,0,False
4692294,2024-01-02,STATEN ISLAND,40.62782,-74.12126,1,0,True
4692295,2024-01-02,STATEN ISLAND,40.615623,-74.105354,0,0,True
4692296,2024-01-02,BROOKLYN,40.57533,-73.99661,0,0,True
4692297,2024-01-02,UNKNOWN,40.582977,-73.98042,0,0,True
4692299,2024-01-02,UNKNOWN,40.587265,-73.983475,1,0,True
4692302,2024-01-03,UNKNOWN,40.60595,-74.07601,1,0,True
4692303,2024-01-01,QUEENS,40.767754,-73.83193,0,0,True
4692305,2024-01-01,QUEENS,40.704594,-73.90826,2,0,True
4692306,2024-01-02,BROOKLYN,40.693256,-73.93494,0,0,True
4692308,2024-01-02,UNKNOWN,40.856743,-73.89527,8,0,True
4692310,2024-01-01,UNKNOWN,40.872314,-73.91274,1,0,True
4692311,2024-01-03,QUEENS,40.702873,-73.817055,1,0,True
4692312,2024-01-03,UNKNOWN,40.846878,-73.920616,1,0,True
4692313,2024-01-02,QUEENS,40.679432,-73.86308,0,0,True
4692314,2024-01-03,BROOKLYN,40.683743,-73.99524,1,0,True
4692315,2024-01-02,QUEENS,40.666695,-73.767136,0,0,True
4692317,2024-01-03,UNKNOWN,40.607864,-74.179184,0,0,True
4692320,2024-01-02,BROOKLYN,40.695705,-73.94637,1,0,True
4692321,2024-01-02,UNKNOWN,40.698326,-73.96106,0,0,True
4692323,2024-01-01,UNKNOWN,40.68651,-73.954544,0,0,True
4692325,2024-01-03,UNKNOWN,40.680214,-73.94628,0,0,True
4692327,2024-01-02,UNKNOWN,40.900925,-73.88852,1,0,True
4692328,2024-01-02,BRONX,40.88874,-73.839836,1,0,True
4692329,2024-01-03,UNKNOWN,40.903057,-73.91017,0,0,True
4692330,2024-01-02,MANHATTAN,,,0,0,False
4692339,2024-01-01,UNKNOWN,,,0,0,False
4692340,2024-01-02,BRONX,40.882385,-73.90408,0,0,True
4692341,2024-01-01,UNKNOWN,,,0,0,False
4692342,2024-01-02,UNKNOWN,40.900925,-73.88852,6,0,True
4692343,2024-01-02,UNKNOWN,,,0,0,False
4692347,2024-01-03,MANHATTAN,40.729797,-73.97481,0,0,True
4692348,2024-01-01,BROOKLYN,40.676445,-73.92762,1,0,True
4692349,2024-01-01,STATEN ISLAND,40.575806,-74.123505,1,0,True
4692351,2024-01-03,STATEN ISLAND,40.55695,-74.138855,3,0,True
4692353,2024-01-03,UNKNOWN,40.563915,-74.11637,0,0,True
