collision_index,severe_or_fatal,fatal,number_of_casualties,vulnerable_casualties,number_of_vehicles,speed_limit,rural,darkness,adverse_weather,wet_or_icy,junction_present,weekend,road_type_label,light_label,weather_label,surface_label,area_label,longitude,latitude
2023010473252,0,0,1,0,2,20,0,1,1,1,1,0,Single carriageway,Darkness - lights lit,Raining no high winds,Wet or damp,Urban,-0.172344,51.465119
2023010473265,1,0,1,1,2,30,0,0,1,1,1,1,Single carriageway,Daylight,Raining no high winds,Wet or damp,Urban,0.110654,51.421939
2023010473286,0,0,1,1,1,20,0,0,1,1,1,1,Single carriageway,Daylight,Raining no high winds,Wet or damp,Urban,-0.296043,51.561591
2023010473288,1,0,1,1,2,30,0,1,0,0,0,0,Unknown,Darkness - lights lit,Fine no high winds,Dry,Urban,-0.243759,51.465294
2023010473317,0,0,2,0,1,50,0,0,1,1,0,1,Dual carriageway,Daylight,Raining no high winds,Wet or damp,Urban,-0.034792,51.61281
2023010473318,0,0,1,0,2,70,1,1,1,1,0,1,Dual carriageway,Darkness - lights lit,Raining no high winds,Wet or damp,Rural,-0.473526,51.559349
2023010473329,0,0,2,0,1,40,1,1,1,1,0,1,Single carriageway,Darkness - lights unlit,Raining no high winds,Wet or damp,Rural,0.11461,51.412911
2023010473340,0,0,1,0,2,30,0,1,0,0,1,0,Unknown,Darkness - lighting unknown,Unknown,Unknown,Urban,0.017984,51.487294
2023010473352,0,0,1,0,1,30,0,1,1,0,1,1,Single carriageway,Darkness - lights lit,Other,Dry,Urban,-0.291931,51.514231
2023010473356,1,0,1,0,3,40,0,0,0,1,0,1,Dual carriageway,Daylight,Fine no high winds,Flood over 3cm,Urban,-0.032974,51.546594
2023010473372,0,0,1,1,2,30,0,0,0,0,0,1,Roundabout,Daylight,Fine no high winds,Dry,Urban,-0.121377,51.385556
2023010473380,0,0,1,0,2,20,0,0,0,1,1,1,Single carriageway,Daylight,Fine no high winds,Wet or damp,Urban,-0.085929,51.605463
2023010473381,0,0,1,1,2,20,0,0,0,0,0,1,Single carriageway,Daylight,Fine no high winds,Dry,Urban,-0.076229,51.469939
2023010473385,1,0,1,1,2,20,0,0,0,0,1,1,Roundabout,Daylight,Fine no high winds,Dry,Urban,-0.154085,51.498384
