model,AIC,R_squared,BIC
OLS,-123.24107484489065,0.9877408211751989,-116.95804115822435
SLM,-128.94640768072503,0.9892182732418286,-120.56902943183663
SEM,-136.2686456689368,0.9904569281117086,-127.89126742004841
