cluster_id,borough,hour,share
0,Bronx,0,0.002523128679562658
0,Bronx,1,0.004205214465937763
0,Bronx,2,0.002523128679562658
0,Bronx,3,0.0
0,Bronx,4,0.0
0,Bronx,5,0.0
0,Bronx,6,0.0
0,Bronx,7,0.0
0,Bronx,8,0.0
0,Bronx,9,0.0
0,Bronx,10,0.0
0,Bronx,11,0.0008410428931875525
0,Bronx,12,0.0
0,Bronx,13,0.0008410428931875525
0,Bronx,14,0.0008410428931875525
0,Bronx,15,0.0008410428931875525
0,Bronx,16,0.0
0,Bronx,17,0.0
0,Bronx,18,0.0
0,Bronx,19,0.0
0,Bronx,20,0.0
0,Bronx,21,0.0008410428931875525
0,Bronx,22,0.0
0,Bronx,23,0.0
0,Brooklyn,0,0.022708158116063918
0,Brooklyn,1,0.021026072329688814
0,Brooklyn,2,0.021867115222876366
0,Brooklyn,3,0.014297729184188394
0,Brooklyn,4,0.00672834314550042
0,Brooklyn,5,0.007569386038687973
0,Brooklyn,6,0.004205214465937763
0,Brooklyn,7,0.00336417157275021
0,Brooklyn,8,0.0
0,Brooklyn,9,0.00336417157275021
0,Brooklyn,10,0.00336417157275021
0,Brooklyn,11,0.007569386038687973
0,Brooklyn,12,0.004205214465937763
0,Brooklyn,13,0.00336417157275021
0,Brooklyn,14,0.00672834314550042
0,Brooklyn,15,0.005887300252312868
0,Brooklyn,16,0.008410428931875526
0,Brooklyn,17,0.007569386038687973
0,Brooklyn,18,0.008410428931875526
0,Brooklyn,19,0.007569386038687973
0,Brooklyn,20,0.005887300252312868
0,Brooklyn,21,0.005046257359125316
0,Brooklyn,22,0.008410428931875526
0,Brooklyn,23,0.002523128679562658
0,EWR,0,0.0
0,EWR,1,0.0
0,EWR,2,0.0
0,EWR,3,0.0
0,EWR,4,0.0
0,EWR,5,0.0
0,EWR,6,0.0
0,EWR,7,0.0
0,EWR,8,0.0
0,EWR,9,0.0
0,EWR,10,0.0
0,EWR,11,0.0
0,EWR,12,0.0
0,EWR,13,0.0
0,EWR,14,0.0
0,EWR,15,0.0
0,EWR,16,0.0
0,EWR,17,0.0
0,EWR,18,0.0
0,EWR,19,0.0
0,EWR,20,0.0
0,EWR,21,0.0
0,EWR,22,0.0
0,EWR,23,0.0
0,Manhattan,0,0.02943650126156434
0,Manhattan,1,0.02943650126156434
0,Manhattan,2,0.01682085786375105
0,Manhattan,3,0.00672834314550042
0,Manhattan,4,0.004205214465937763
0,Manhattan,5,0.004205214465937763
0,Manhattan,6,0.0025231286795626574
0,Manhattan,7,0.014297729184188394
0,Manhattan,8,0.008410428931875526
0,Manhattan,9,0.008410428931875526
0,Manhattan,10,0.012615643397813289
0,Manhattan,11,0.022708158116063918
0,Manhattan,12,0.023549201009251473
0,Manhattan,13,0.03868797308662742
0,Manhattan,14,0.034482758620689655
0,Manhattan,15,0.045416316232127836
0,Manhattan,16,0.04289318755256518
0,Manhattan,17,0.03784693019343986
0,Manhattan,18,0.02607232968881413
0,Manhattan,19,0.01934398654331371
0,Manhattan,20,0.031959629941127
0,Manhattan,21,0.028595458368376788
0,Manhattan,22,0.012615643397813289
0,Manhattan,23,0.011774600504625737
0,Queens,0,0.01934398654331371
0,Queens,1,0.02607232968881413
0,Queens,2,0.023549201009251473
0,Queens,3,0.010933557611438183
0,Queens,4,0.010092514718250631
0,Queens,5,0.011774600504625737
0,Queens,6,0.007569386038687974
0,Queens,7,0.007569386038687973
0,Queens,8,0.005887300252312868
0,Queens,9,0.005887300252312868
0,Queens,10,0.00336417157275021
0,Queens,11,0.00672834314550042
0,Queens,12,0.009251471825063078
0,Queens,13,0.010933557611438183
0,Queens,14,0.008410428931875526
0,Queens,15,0.021026072329688814
0,Queens,16,0.018502943650126155
0,Queens,17,0.01345668629100084
0,Queens,18,0.011774600504625737
0,Queens,19,0.012615643397813289
0,Queens,20,0.00672834314550042
0,Queens,21,0.007569386038687973
0,Queens,22,0.010092514718250631
0,Queens,23,0.010092514718250631
0,Staten Island,0,0.0
0,Staten Island,1,0.0
0,Staten Island,2,0.0
0,Staten Island,3,0.0
0,Staten Island,4,0.0
0,Staten Island,5,0.0
0,Staten Island,6,0.0
0,Staten Island,7,0.0
0,Staten Island,8,0.0
0,Staten Island,9,0.0
0,Staten Island,10,0.0
0,Staten Island,11,0.0
0,Staten Island,12,0.0
0,Staten Island,13,0.0
0,Staten Island,14,0.0
0,Staten Island,15,0.0
0,Staten Island,16,0.0
0,Staten Island,17,0.0
0,Staten Island,18,0.0
0,Staten Island,19,0.0
0,Staten Island,20,0.0
0,Staten Island,21,0.0
0,Staten Island,22,0.0
0,Staten Island,23,0.0
0,Unknown,0,0.0
0,Unknown,1,0.0008410428931875525
0,Unknown,2,0.0
0,Unknown,3,0.0
0,Unknown,4,0.0
0,Unknown,5,0.0
0,Unknown,6,0.0
0,Unknown,7,0.0
0,Unknown,8,0.0008410428931875525
0,Unknown,9,0.0
0,Unknown,10,0.0
0,Unknown,11,0.0
0,Unknown,12,0.0
0,Unknown,13,0.0
0,Unknown,14,0.001682085786375105
0,Unknown,15,0.0008410428931875525
0,Unknown,16,0.0
0,Unknown,17,0.0
0,Unknown,18,0.0
0,Unknown,19,0.0
0,Unknown,20,0.0
0,Unknown,21,0.0
0,Unknown,22,0.0
0,Unknown,23,0.0
1,Bronx,0,0.0002821696818267825
1,Bronx,1,0.00032252016796528726
1,Bronx,2,2.2664944130912744e-05
1,Bronx,3,0.00014382824149710284
1,Bronx,4,0.000308026876782864
1,Bronx,5,0.0005914350129775487
1,Bronx,6,0.000382650452602585
